> Miller, K.G. et al, 2024. Global mean and relative sea-level changes over the past 66 Myr: implications for early Eocene ice sheets. Earth Science, Systems and Society, 4(1), p.10091.
> Age (Ma)	sea level (m)
0.40033241	9.633521073
0.40310228	20.62071943
0.40587114	6.781457061
0.40883281	5.066108657
0.41229611	-3.007977615
0.4165056	-16.58526092
0.42013921	-52.76126479
0.42404067	-63.78286373
0.42684103	-80.02785709
0.43001091	-86.72361838
0.43301172	-86.46203352
0.43630152	-91.42829632
0.43832573	-86.51255457
0.44011299	-62.7093097
0.44155401	-73.75846917
0.44504136	-59.82802768
0.44669263	-59.83593961
0.44798515	-64.20563634
0.44927756	-59.84830891
0.45056885	-58.69034255
0.45302298	-58.11921207
0.45341057	-63.36225629
0.45434277	-65.11468888
0.45482747	-59.29227645
0.45605648	-70.36828971
0.45799469	-74.46113284
0.46003077	-67.47935183
0.46250191	-68.66107773
0.46495149	-70.42724926
0.46798285	-58.18519142
0.47124144	-48.26707663
0.47445705	-35.4141628
0.47767224	-37.75443555
0.48282202	-28.97519458
0.48635306	-22.52717909
0.48965022	-22.51983043
0.49249771	-53.59731923
0.49513499	-25.44130129
0.49798206	-29.54573346
0.50083468	-14.27156339
0.50368471	-40.11742677
0.50597395	-45.41016118
0.50825645	-48.35459957
0.51053895	-56.00811312
0.51286581	-55.42761582
0.5163717	-48.37203222
0.51713253	-37.18229024
0.52036202	-40.12957056
0.52394165	-37.77311587
0.52764492	-38.95411189
0.53227718	-48.40439945
0.53598879	-55.50228409
0.54005876	-54.92352035
0.54353296	-53.15887396
0.54807172	-61.4594843
0.55217736	-44.88704606
0.55612254	-52.59842756
0.55883109	-45.48809481
0.56206635	-40.15183649
0.56407222	-27.68796601
0.56607878	-25.90366186
0.56875001	-29.46273657
0.57074248	-17.5768489
0.57242781	-16.38301404
0.57507604	-8.05052878
0.57844597	-25.2863939
0.58157574	-53.84728894
0.58493543	-56.8323841
0.58810802	-45.52252427
0.59222902	-35.39369173
0.59695205	-33.60235244
0.60044255	-37.77746831
0.60565483	-33.59663101
0.61052014	-20.44616108
0.61416864	-34.18905471
0.61784607	-43.75803224
0.62011925	-56.32524043
0.62291321	-85.66186067
0.62541148	-79.6890583
0.62800135	-98.8687925
0.62966701	-80.30971697
0.6309691	-88.70463166
0.63231397	-92.30826877
0.63390478	-84.52647792
0.635127	-78.53843666
0.63761055	-81.54800209
0.63962275	-73.16107505
0.64221728	-76.77056092
0.64401295	-76.77794107
0.64600792	-77.38613326
0.64760353	-76.19199628
0.65074811	-68.39811092
0.65374795	-66.00438148
0.65511151	-69.61195728
0.6570205	-65.41197755
0.65838407	-63.61276366
0.66002034	-61.21272325
0.66196309	-52.80255048
0.66370769	-66.0284801
0.66428922	-52.20448776
0.66748776	-66.03649614
0.67039626	-58.22501537
0.67214136	-55.82204069
0.67343302	-66.6491031
0.67467764	-58.23101525
0.67620152	-62.44338335
0.6777254	-59.43795494
0.68026996	-58.83948944
0.68435428	-34.77931658
0.71108257	-61.86059428
0.71939543	-70.86464011
0.72147962	-68.45822667
0.72271356	-71.45799819
0.72375094	-58.84796683
0.72489982	-46.84152566
0.72673904	-43.84206971
0.7299043	-49.24393423
0.73766176	-56.43405792
0.74218663	-51.04088175
0.74415117	-57.62182664
0.745675	-53.4319882
0.74676346	-64.19524199
0.74864609	-71.96002426
0.75327012	-61.1865092
0.756536	-61.17615175
0.76010087	-51.62544521
0.76356001	-39.70889284
0.76670509	-42.69066309
0.76926994	-34.96228949
0.77178426	-29.62192103
0.77404875	-32.00843919
